model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,distribution_error,time,ess
NNODEgRMHMC,1.0,banana,0.05,0.03484867,0.07643568515777588,0.5514355840901584,41.91789174079895,6.433555583218028
Explicit NNODEgRMHMC,1.0,banana,0.05,1.774061e-11,0.05921895429491997,0.27553207342456915,51.05061435699463,1.8404754000977641
GSymplecticNNgRMHMC,1.0,banana,0.05,0.013035242,0.1323062777519226,0.8927053273610821,39.44801354408264,1.4861459813722329
GradGSymplecticNNgRMHMC,1.0,banana,0.05,0.018522987,0.16978974640369415,0.2124560554215083,40.41571116447449,5.607565695197525
RMHMC,1.0,normal_normal,0.1,0.33264992,0.12169641256332397,0.0,228.98694682121277,21.864363184689925
NNODEgRMHMC,1.0,normal_normal,0.1,0.32146078,0.4072527587413788,1.475380777746697,124.38381695747375,1.4724702229073707
Explicit NNODEgRMHMC,1.0,normal_normal,0.1,0.00015783927,0.13070793449878693,0.05188646982452906,129.63187861442566,5.677234579705578
GSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.08522735,0.11360136419534683,0.035780253957971124,121.93420219421387,18.566582223685575
GradGSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.26527652,0.1101754903793335,0.13581230434418431,124.28334546089172,2.748083298658763
RMHMC,1.0,funnel,0.05,633.9698,1852.9876708984375,0.0,76.51484727859497,40.52765327833793
NNODEgRMHMC,1.0,funnel,0.05,0.0631476,0.07551413029432297,1.637178323710302,45.17484664916992,2.0506126473300017
Explicit NNODEgRMHMC,1.0,funnel,0.05,nan,,0.8454252943789908,53.45109724998474,300.0
GSymplecticNNgRMHMC,1.0,funnel,0.05,0.19301829,0.5730995535850525,1.765705103668209,42.27539253234863,1.265078001382227
GradGSymplecticNNgRMHMC,1.0,funnel,0.05,0.18293987,7.39180326461792,0.8454252943789908,43.411773681640625,300.0
