model,training_size,distribution,step_size,reversibility_error,rm_hamiltonian_error,distribution_error,time,ess
NNODEgRMHMC,1.0,banana,0.05,0.026059909,0.09752240031957626,0.6620307779368156,83.2521767616272,5.093993068262349
Explicit NNODEgRMHMC,1.0,banana,0.05,1.3107115e-11,0.051620837301015854,0.5798495847949375,87.774178981781,1.4167868028411155
GSymplecticNNgRMHMC,1.0,banana,0.05,0.004928477,0.13218963146209717,1.005949055147966,71.46366310119629,1.7803216194813625
GradGSymplecticNNgRMHMC,1.0,banana,0.05,0.006333721,0.13948749005794525,0.8554991597832645,72.66873121261597,12.929167801278393
RMHMC,1.0,normal_normal,0.1,0.33264992,0.12169641256332397,0.0,248.77174711227417,21.864363184689925
NNODEgRMHMC,1.0,normal_normal,0.1,0.43355712,0.33779793977737427,1.4997395541327225,230.51478576660156,1.960418880022076
Explicit NNODEgRMHMC,1.0,normal_normal,0.1,0.0008157802,0.06796307861804962,0.09561939658165168,230.32541298866272,5.084002224567924
GSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.061415493,0.11044340580701828,0.05801670199998521,222.0402271747589,20.494750784454297
GradGSymplecticNNgRMHMC,1.0,normal_normal,0.1,0.21249309,0.105870321393013,0.09442698075652495,226.22522068023682,3.5546101531291514
RMHMC,1.0,funnel,0.05,633.9698,1852.9876708984375,0.0,76.67882680892944,40.52765327833793
NNODEgRMHMC,1.0,funnel,0.05,0.06350177,0.09780772775411606,1.923844406948082,83.95954632759094,2.781200973653431
Explicit NNODEgRMHMC,1.0,funnel,0.05,1.5066419e-05,0.7768645286560059,1.079150891857299,86.50899696350098,3.262900090808857
GSymplecticNNgRMHMC,1.0,funnel,0.05,1.266946,2.984114170074463,1.1470911327503621,75.23540878295898,300.0
GradGSymplecticNNgRMHMC,1.0,funnel,0.05,1.0421752,72.18562316894531,1.1470911327503621,75.99153566360474,300.0
